name,cpc,cohesin,distances
phi_512_29491_1.0e-5__CPC_0.1_cohesin_0.12_eps_0.0096_alpha_0_domain_0_2,0.1, 0.12,"[0.3445,0.3615,0.3774,0.4096,0.4409,0.6592,0.6481,0.4415,0.4090,0.3782,0.3604,0.3446]"
phi_512_29491_1.0e-5__CPC_0.15_cohesin_0.12_eps_0.0096_alpha_0_domain_0_2,0.15, 0.12,"[0.3433,0.3445,0.3587,0.3813,0.4117,0.4403,0.7081,0.6973,0.4392,0.4128,0.3802,0.3598,0.3451,0.3470]"
phi_512_29491_1.0e-5__CPC_0.173_cohesin_0.12_eps_0.0096_alpha_0_domain_0_2,0.173, 0.12,"[0.3251,0.3448,0.3591,0.3852,0.4083,0.4487,0.7232,0.7125,0.4477,0.4093,0.3843,0.3601,0.3454,0.3291]"
phi_512_29491_1.0e-5__CPC_0.25_cohesin_0.12_eps_0.0096_alpha_0_domain_0_2,0.25, 0.12,"[0.3493,0.3638,0.3819,0.4128,0.4491,0.7981,0.7878,0.4482,0.4137,0.3810,0.3647,0.3499]"
phi_512_19661_1.0e-5__CPC_0.3_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.3, 0.11,"[0.1777,0.4299,0.3594,0.3821,0.4129,0.4492,0.8476,0.8374,0.4483,0.4139,0.3812,0.3604,0.3499,0.2672]"
phi_512_19661_1.0e-5__CPC_0.25_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.25, 0.11,"[0.3493,0.3638,0.3819,0.4128,0.4491,0.7981,0.7878,0.4482,0.4137,0.3810,0.3647,0.3499]"
phi_512_19661_1.0e-5__CPC_0.22_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.22, 0.11,"[0.3006,0.3452,0.3674,0.3775,0.4131,0.4446,0.7710,0.7606,0.4437,0.4140,0.3767,0.3684,0.3458,0.3045]"
phi_512_19661_1.0e-5__CPC_0.2_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.2, 0.11,"[0.3068,0.3497,0.3591,0.3817,0.4123,0.4489,0.7484,0.7379,0.4480,0.4133,0.3808,0.3601,0.3502,0.3108]"
phi_512_19661_1.0e-5__CPC_0.173_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.173, 0.11,"[0.3251,0.3448,0.3591,0.3852,0.4083,0.4487,0.7232,0.7125,0.4477,0.4093,0.3843,0.3601,0.3454,0.3291]"
phi_512_19661_1.0e-5__CPC_0.15_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.15, 0.11,"[0.3433,0.3445,0.3587,0.3813,0.4117,0.4403,0.7081,0.6973,0.4392,0.4128,0.3802,0.3598,0.3451,0.3470]"
phi_512_19661_1.0e-5__CPC_0.125_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.125, 0.11,"[0.3445,0.3611,0.3821,0.4063,0.4450,0.6856,0.6747,0.4457,0.4057,0.3828,0.3604,0.3449]"
phi_512_19661_1.0e-5__CPC_0.12_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.12, 0.11,"[0.3446,0.3616,0.3776,0.4100,0.4412,0.6835,0.6726,0.4417,0.4095,0.3784,0.3607,0.3450]"
phi_512_19661_1.0e-5__CPC_0.1_cohesin_0.11_eps_0.0096_alpha_0_domain_0_2,0.1, 0.11,"[0.3445,0.3615,0.3774,0.4096,0.4409,0.6592,0.6481,0.4415,0.4090,0.3782,0.3604,0.3446]"
phi_512_9830_1.0e-5__CPC_0.22_cohesin_0.1_eps_0.0096_alpha_0_domain_0_2,0.22, 0.1,"[0.6003,0.5907]"
phi_512_9830_1.0e-5__CPC_0.173_cohesin_0.1_eps_0.0096_alpha_0_domain_0_2,0.173, 0.1,"[0.5508,0.5409]"
phi_512_9830_1.0e-5__CPC_0.15_cohesin_0.1_eps_0.0096_alpha_0_domain_0_2,0.15, 0.1,"[0.5264,0.5164]"
phi_512_9830_1.0e-5__CPC_0.12_cohesin_0.1_eps_0.0096_alpha_0_domain_0_2,0.12, 0.1,"[0.5007,0.4904]"
phi_512_9830_1.0e-5__CPC_0.1_cohesin_0.1_eps_0.0096_alpha_0_domain_0_2,0.1, 0.1,"[0.4861,0.4756]"
phi_512_9830_1.0e-5__CPC_0.3_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.3, 0.09,"[0.6808,0.6716]"
phi_512_9830_1.0e-5__CPC_0.25_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.25, 0.09,"[0.6310,0.6216]"
phi_512_9830_1.0e-5__CPC_0.22_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.22, 0.09,"[0.6003,0.5907]"
phi_512_9830_1.0e-5__CPC_0.2_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.2, 0.09,"[0.5807,0.5711]"
phi_512_9830_1.0e-5__CPC_0.173_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.173, 0.09,"[0.5508,0.5409]"
phi_512_9830_1.0e-5__CPC_0.15_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.15, 0.09,"[0.5264,0.5164]"
phi_512_9830_1.0e-5__CPC_0.125_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.125, 0.09,"[0.5071,0.4970]"
phi_512_9830_1.0e-5__CPC_0.12_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.12, 0.09,"[0.5007,0.4904]"
phi_512_9830_1.0e-5__CPC_0.1_cohesin_0.09_eps_0.0096_alpha_0_domain_0_2,0.1, 0.09,"[0.4861,0.4756]"